student_id,gender,age,subject,exam_score,exam_date,region,grade_level,school,score_status,performance_level
7344,Female,21,History,42.14,2024-11-08,East Erica,Year 1,Gordon-Allen,Fail,Low
2362,Female,20,English,73.97,2025-09-17,New Michele,Year 1,Rojas Inc,Pass,Good
5020,Female,24,English,64.94,2025-02-17,Walshfort,Year 4,Parks-Fields,Pass,Average
1492,Male,25,Science,72.52,2025-10-12,Lake Ashley,Year 4,"Roberson, Ross and Payne",Pass,Good
9116,Female,20,History,45.06,2025-08-31,Amandaview,Year 3,Hernandez PLC,Fail,Low
6510,Female,20,Science,61.24,2025-03-12,Yangfurt,Year 4,Kerr LLC,Pass,Average
7076,Female,18,Science,58.31,2025-06-01,North Christina,Year 3,"Pineda, Sanchez and Brown",Pass,Average
2510,Female,21,Science,81.25,2025-10-09,East Samuelmouth,Year 2,"Ford, Brooks and Petty",Pass,Good
6286,Female,25,English,61.04,2025-10-18,Patrickbury,Year 4,"Snow, Singh and Arroyo",Pass,Average
7240,Male,23,English,58.14,2025-10-03,Powellfort,Year 4,"Reese, Cooper and Brown",Pass,Average
6164,Male,24,English,79.47,2025-06-28,Richardsontown,Year 4,Ross-Lara,Pass,Good
3848,Female,21,English,50.66,2024-11-30,New Paul,Year 1,Jackson LLC,Pass,Average
5938,Male,20,English,58.5,2025-04-09,New Maria,Year 2,Jones-Byrd,Pass,Average
1054,Male,19,Science,89.36,2025-06-25,North Kimberly,Year 1,"Perez, Sanford and Graham",Pass,Excellent
9650,Female,21,Math,59.78,2025-03-10,Millerport,Year 1,Hernandez and Sons,Pass,Average
3875,Female,21,History,97.88,2025-08-15,Katherineberg,Year 2,Salinas-Figueroa,Pass,Excellent
5359,Male,22,Science,69.01,2025-06-09,Robinsonfurt,Year 1,Moreno Ltd,Pass,Average
8816,Female,22,Science,52.16,2024-10-25,Jonathanside,Year 4,Ward-Brandt,Pass,Average
6226,Female,19,Computer,97.99,2025-04-21,North Eric,Year 1,Palmer-Ayala,Pass,Excellent
4425,Male,24,Computer,91.1,2025-08-15,North Christopher,Year 1,"Gray, Hodges and Melton",Pass,Excellent
3720,Female,22,Math,48.8,2025-02-26,Stewartbury,Year 2,Banks-Coleman,Fail,Low
3954,Female,19,Science,97.95,2025-01-01,East Carlos,Year 1,Rogers and Sons,Pass,Excellent
8941,Female,25,Math,41.62,2025-03-05,Fischerburgh,Year 2,Morales-Vaughan,Fail,Low
8427,Female,25,Science,48.91,2025-02-22,Port William,Year 3,Zuniga-Smith,Fail,Low
9285,Female,20,Computer,99.56,2025-07-14,Williamville,Year 2,"Johnson, Cole and Vasquez",Pass,Excellent
2430,Male,25,History,50.92,2025-07-16,Port Moniqueshire,Year 3,Allen-Pacheco,Pass,Average
4492,Female,25,English,76.51,2025-08-26,North Ryan,Year 1,Stuart Ltd,Pass,Good
3631,Male,20,Math,95.95,2025-02-11,South Samantha,Year 3,Smith and Sons,Pass,Excellent
6052,Male,19,English,91.19,2025-06-24,Lake William,Year 4,Cooley-Maldonado,Pass,Excellent
2207,Male,19,History,66.27,2025-07-31,Whiteland,Year 2,Lee-Gibbs,Pass,Average
2555,Female,20,English,81.36,2025-03-10,Nancyville,Year 4,Murphy-Woods,Pass,Good
1339,Female,19,Computer,62.16,2025-04-25,Wayneview,Year 2,"Lewis, Rich and Anderson",Pass,Average
8413,Female,22,Math,56.24,2025-03-24,Jeremyburgh,Year 1,Perkins-Ross,Pass,Average
8405,Female,25,Math,73.94,2025-06-08,Parkerport,Year 2,Howe PLC,Pass,Good
5023,Male,21,History,91.97,2024-12-06,Codyport,Year 3,"Johnson, Hunter and Anderson",Pass,Excellent
9648,Male,24,English,66.1,2025-03-26,Parrishhaven,Year 4,"Harris, Lopez and Hamilton",Pass,Average
1467,Female,25,History,74.86,2025-08-08,Petersonberg,Year 1,"Fisher, Hardin and Perry",Pass,Good
4231,Female,22,Math,96.22,2025-01-04,North Jessicastad,Year 4,"Gamble, Cooper and Hill",Pass,Excellent
9570,Female,25,History,74.48,2025-03-13,North Eric,Year 2,Garcia and Sons,Pass,Good
4651,Female,18,English,61.47,2025-01-17,Diazmouth,Year 4,Bates Group,Pass,Average
2859,Female,21,History,76.01,2025-04-30,Thomashaven,Year 4,Humphrey Ltd,Pass,Good
5426,Male,23,History,47.28,2025-08-08,Lake Elizabethfurt,Year 2,Howell-Wang,Fail,Low
5114,Female,24,Computer,75.39,2025-08-12,Hopkinston,Year 3,Fields PLC,Pass,Good
9004,Female,18,History,84.7,2025-08-20,South Zachary,Year 3,Henderson Group,Pass,Good
4617,Male,20,History,92.8,2025-09-14,Chadside,Year 2,"Moreno, Robinson and Garrett",Pass,Excellent
1703,Male,18,Computer,84.95,2025-03-14,North Shelby,Year 4,Sweeney Ltd,Pass,Good
5513,Female,25,Science,77.4,2025-08-24,North Dennisville,Year 4,"Rodriguez, Marks and Webster",Pass,Good
5376,Female,19,Science,53.6,2025-02-10,North Justinview,Year 2,"Johnson, Robertson and Tanner",Pass,Average
5514,Male,19,Computer,55.49,2025-05-13,Port Davidton,Year 1,Rivas-Leonard,Pass,Average
9462,Male,20,History,43.43,2025-10-12,Bradport,Year 1,Mcconnell-Hodge,Fail,Low
4671,Male,23,English,81.33,2025-08-08,South Micheleburgh,Year 1,Matthews-Simmons,Pass,Good
7115,Male,20,Science,84.58,2025-09-22,New Heather,Year 4,Stafford-Donovan,Pass,Good
9445,Female,25,Science,59.84,2025-02-05,Munozborough,Year 4,Thompson-Patel,Pass,Average
9472,Female,25,English,90.09,2025-09-22,Laurafurt,Year 4,Wilson-Mcbride,Pass,Excellent
8090,Female,25,English,60.22,2025-02-24,Davisport,Year 3,Gordon Inc,Pass,Average
5952,Female,22,Computer,45.04,2025-05-23,Sotoport,Year 3,Marshall LLC,Fail,Low
2421,Female,25,History,66.03,2024-12-30,West Danielleberg,Year 4,Mcgee LLC,Pass,Average
2064,Female,20,History,87.74,2025-06-08,West Jenniferberg,Year 2,"Brown, Ellis and Young",Pass,Excellent
8622,Male,20,History,48.74,2024-11-22,North Nicholasburgh,Year 4,"Jensen, Fisher and Reeves",Fail,Low
2518,Male,24,English,62.72,2025-03-07,Port Mariahland,Year 4,Russell PLC,Pass,Average
8093,Male,20,Computer,44.91,2025-02-23,North Douglas,Year 2,Smith LLC,Fail,Low
4380,Male,23,Math,93.47,2025-05-01,North Ryan,Year 2,"Ellis, Franklin and Frazier",Pass,Excellent
8796,Male,22,Computer,41.8,2025-05-31,Gonzalesshire,Year 3,Guzman LLC,Fail,Low
8950,Female,20,Computer,52.91,2025-08-05,West Erikaview,Year 2,Fisher-Wall,Pass,Average
6706,Male,21,Math,49.01,2025-01-07,Jacksonberg,Year 1,Nichols-Evans,Fail,Low
2061,Male,21,Computer,71.49,2024-11-21,Port Timothy,Year 4,"Pennington, Richardson and Patterson",Pass,Good
3924,Female,19,Computer,92.55,2025-03-26,Gomezton,Year 3,"Richardson, Dawson and Yu",Pass,Excellent
8497,Female,25,English,61.4,2025-09-30,Christinaburgh,Year 2,Kelly-Goodman,Pass,Average
4853,Male,20,History,68.54,2025-06-30,North Jeremiahview,Year 4,Brown-Jackson,Pass,Average
8027,Male,23,English,48.92,2025-06-21,Wilsonfort,Year 3,Smith-Russell,Fail,Low
2140,Female,19,Computer,73.64,2024-12-22,Cherylstad,Year 1,Jackson and Sons,Pass,Good
8636,Female,19,History,42.77,2025-06-18,South Christinaborough,Year 3,Williams Ltd,Fail,Low
6560,Female,24,History,62.75,2025-02-03,West Tina,Year 2,David-Russo,Pass,Average
6669,Female,18,History,43.9,2025-08-26,New Anthony,Year 4,Gutierrez Inc,Fail,Low
9537,Male,21,History,87.83,2025-09-26,East Kathryn,Year 4,Lee Group,Pass,Excellent
7022,Female,23,English,80.41,2025-07-13,Delgadoside,Year 4,"Davidson, Herrera and White",Pass,Good
5561,Male,21,Computer,56.72,2025-01-06,Markbury,Year 2,"Fletcher, Gibbs and Estrada",Pass,Average
7610,Male,23,Computer,68.18,2025-01-05,West Christopherberg,Year 1,Bullock and Sons,Pass,Average
8823,Male,24,History,83.19,2025-06-28,Port Megan,Year 1,"Copeland, Jones and Sanchez",Pass,Good
9611,Male,24,History,67.55,2025-09-16,Rogersville,Year 3,Lozano Group,Pass,Average
9670,Male,19,Math,92.3,2025-05-29,West Morgan,Year 4,Perez-Smith,Pass,Excellent
6372,Male,19,Computer,91.21,2025-09-29,North Christine,Year 4,Mora-Neal,Pass,Excellent
8974,Male,20,Science,74.77,2025-06-17,Suttonbury,Year 3,Floyd-Johnson,Pass,Good
2387,Male,25,History,45.5,2025-01-16,Carlosside,Year 1,Hall PLC,Fail,Low
6126,Female,18,Computer,45.0,2024-11-20,Port John,Year 1,"Costa, Hudson and Wiley",Fail,Low
8137,Male,24,History,81.68,2025-04-15,Lake Matthewchester,Year 2,"Thomas, Moore and Davidson",Pass,Good
3351,Female,22,Science,43.78,2025-04-20,Wilsonberg,Year 2,Smith PLC,Fail,Low
5844,Male,20,Math,59.11,2025-01-16,New Wesley,Year 4,"White, Mccoy and Sharp",Pass,Average
6826,Female,25,Math,65.05,2025-09-10,West Christina,Year 1,"Velasquez, Carpenter and Ware",Pass,Average
3041,Female,21,English,48.41,2025-07-25,North Johnburgh,Year 3,Miller Group,Fail,Low
3252,Male,21,Computer,62.58,2025-05-21,Lake Jeff,Year 3,Pena-Mercado,Pass,Average
9125,Female,24,History,99.25,2024-12-20,Lake Jeremyborough,Year 1,Eaton Group,Pass,Excellent
7716,Female,20,Math,92.59,2024-10-31,North Jenniferbury,Year 2,Mendoza and Sons,Pass,Excellent
2633,Male,24,Math,99.52,2025-01-19,Langton,Year 4,Meyer-Fuller,Pass,Excellent
3520,Male,22,History,72.25,2025-03-16,South Christopherland,Year 3,Johnson PLC,Pass,Good
4203,Male,19,Math,59.75,2025-05-29,South Jacob,Year 4,Walker Group,Pass,Average
6912,Male,19,Math,74.84,2024-12-27,New Marthaborough,Year 1,"Lee, Callahan and Schultz",Pass,Good
2542,Male,24,Math,69.77,2025-07-19,Morriston,Year 3,Hill-Ortiz,Pass,Average
3691,Female,20,Science,40.78,2024-11-15,Kimburgh,Year 4,"Cortez, Vargas and Gamble",Fail,Low
4454,Male,24,Math,94.37,2025-05-29,South Stephanie,Year 2,Johnston Group,Pass,Excellent
4964,Female,23,English,63.72,2025-06-03,Port Juliebury,Year 3,"Nelson, Henderson and Washington",Pass,Average
3965,Male,21,Science,98.61,2025-04-18,Port Jerry,Year 2,Tate-Wilcox,Pass,Excellent
9492,Male,21,English,64.03,2025-01-27,Kristastad,Year 1,Roberts-Webster,Pass,Average
8532,Female,21,English,75.7,2025-09-27,South Michelle,Year 2,"Smith, Johnson and Smith",Pass,Good
2924,Female,22,Computer,95.6,2025-03-19,Lauriebury,Year 4,Taylor Group,Pass,Excellent
1526,Female,24,Science,50.11,2025-10-10,Summermouth,Year 3,Martinez LLC,Pass,Average
9315,Female,23,History,52.2,2024-12-22,East Amandastad,Year 1,Jackson-Bradley,Pass,Average
4907,Male,18,English,91.87,2025-09-09,Jamesfurt,Year 1,Thomas PLC,Pass,Excellent
2645,Male,24,English,53.17,2025-07-31,Angelaberg,Year 3,"Medina, Gray and Nelson",Pass,Average
1715,Male,23,English,70.64,2025-05-22,New Jessica,Year 3,"Jones, Blake and Wright",Pass,Good
9371,Female,22,History,46.06,2025-04-04,Cindyburgh,Year 1,"Austin, Sanders and Taylor",Fail,Low
9777,Female,24,Computer,79.64,2025-05-25,Lake Gary,Year 4,Castro and Sons,Pass,Good
4157,Female,22,Science,67.57,2025-08-03,Mcleanshire,Year 4,"Phillips, Nelson and Romero",Pass,Average
4453,Female,23,Math,92.6,2025-07-24,North Jason,Year 1,Reid and Sons,Pass,Excellent
6254,Male,21,Math,72.64,2025-03-31,Port Laura,Year 4,Fuller-Allen,Pass,Good
1482,Female,19,Science,94.29,2025-01-19,Pattersonland,Year 1,Moore-Johnson,Pass,Excellent
4800,Male,21,English,74.94,2025-08-09,East Kelly,Year 4,Fowler LLC,Pass,Good
5143,Female,20,Science,53.33,2025-10-01,Rowestad,Year 3,Bailey PLC,Pass,Average
4489,Male,25,English,53.16,2025-03-05,North Kellystad,Year 3,"Cook, Torres and Lewis",Pass,Average
4378,Female,22,Science,63.48,2025-06-28,New Williamland,Year 4,Joseph-Henderson,Pass,Average
1284,Male,25,English,54.25,2025-03-25,Osborneshire,Year 4,"Reese, Herrera and Hamilton",Pass,Average
8383,Female,19,History,41.99,2024-11-04,Stokesmouth,Year 3,Holland Group,Fail,Low
5608,Male,20,English,45.73,2025-08-09,Flynnberg,Year 3,"Perez, Norris and Potter",Fail,Low
9000,Female,20,Math,80.6,2025-06-27,Harveymouth,Year 2,Hunt-Robinson,Pass,Good
1317,Female,24,English,79.48,2024-12-01,Lake Kentbury,Year 3,"Mullen, Morales and Richards",Pass,Good
9765,Female,22,Computer,66.49,2025-08-06,Carmenfurt,Year 2,"Adams, Jones and Griffith",Pass,Average
1865,Male,19,History,96.29,2025-06-18,Christopherstad,Year 4,"Cook, Cole and Thornton",Pass,Excellent
5748,Male,20,Math,84.17,2025-09-18,Josephmouth,Year 4,Bennett Group,Pass,Good
2026,Female,19,English,50.06,2025-05-07,Kaitlynchester,Year 4,Perry PLC,Pass,Average
3274,Male,22,History,70.13,2025-02-24,Port Ritaland,Year 3,"Pierce, Bridges and Brown",Pass,Good
2676,Female,20,Math,98.81,2025-08-03,North Crystal,Year 2,"Young, Downs and Rowland",Pass,Excellent
6502,Male,21,English,86.76,2024-12-18,Parkerhaven,Year 1,"Archer, Chen and Hurst",Pass,Excellent
4304,Male,18,Computer,85.77,2025-03-04,Mortonhaven,Year 2,Wagner Ltd,Pass,Excellent
9641,Female,18,Math,75.97,2024-12-03,Jamesstad,Year 1,Douglas-Harris,Pass,Good
8285,Male,21,English,71.76,2025-07-27,Larryton,Year 3,"Conley, Summers and Pugh",Pass,Good
3069,Female,25,History,96.58,2025-03-27,Brycefort,Year 1,Elliott and Sons,Pass,Excellent
5870,Male,19,English,96.25,2024-11-05,Barnestown,Year 4,Norris Ltd,Pass,Excellent
8453,Male,20,Computer,94.98,2025-06-16,West Paulbury,Year 4,Walters-Torres,Pass,Excellent
2525,Male,22,English,90.84,2025-06-29,East Matthewbury,Year 2,Park LLC,Pass,Excellent
3013,Male,23,Computer,78.67,2024-12-05,New Cameronfurt,Year 2,Johnson-Schwartz,Pass,Good
1261,Male,19,History,85.69,2025-07-30,Noblemouth,Year 1,Ford-Mosley,Pass,Excellent
6931,Male,18,Science,95.6,2025-05-31,Stephenport,Year 1,Pennington PLC,Pass,Excellent
4364,Male,25,History,85.11,2025-09-28,South Richard,Year 3,"Perry, Martin and Chapman",Pass,Excellent
7110,Female,18,Computer,73.53,2024-10-23,North James,Year 4,Webb Ltd,Pass,Good
7019,Female,19,English,98.72,2025-05-25,North Lisa,Year 1,Tucker Group,Pass,Excellent
6186,Male,20,Math,45.98,2024-12-11,South Terranceport,Year 2,"Walker, Berger and Thomas",Fail,Low
4988,Male,23,Computer,88.48,2025-05-24,Sheilabury,Year 4,Vega-Watts,Pass,Excellent
9247,Male,22,Science,99.64,2025-08-04,New Andrewchester,Year 2,Rodriguez-Mckinney,Pass,Excellent
6621,Male,21,English,98.82,2025-10-10,Erikville,Year 2,Nielsen Ltd,Pass,Excellent
1641,Male,19,History,98.79,2025-07-27,Tinaberg,Year 4,Harris-Carter,Pass,Excellent
3209,Male,20,Science,40.88,2024-12-01,Bernardshire,Year 1,Becker Ltd,Fail,Low
3374,Female,24,English,93.05,2025-03-29,Stephanieport,Year 3,"Smith, Figueroa and Powell",Pass,Excellent
6908,Male,19,English,90.37,2024-11-11,Antoniotown,Year 2,Valenzuela LLC,Pass,Excellent
3130,Female,18,Math,59.39,2025-04-09,East Donnashire,Year 4,Elliott-Thornton,Pass,Average
5588,Female,18,Computer,80.68,2024-11-18,Christineland,Year 1,Vazquez Ltd,Pass,Good
9998,Female,18,Science,50.47,2025-06-12,Billymouth,Year 3,Page-Kelley,Pass,Average
8610,Female,25,English,59.01,2025-03-15,Lake Jaredchester,Year 3,Casey PLC,Pass,Average
9468,Male,24,Computer,47.24,2024-11-12,Adamstown,Year 2,"Rodriguez, Payne and Ross",Fail,Low
1864,Female,20,Math,60.08,2024-11-03,Port Debra,Year 1,Cook and Sons,Pass,Average
1470,Male,23,Science,65.36,2024-12-22,Briannaborough,Year 2,Osborn LLC,Pass,Average
6168,Female,23,Science,97.36,2025-04-24,West Arthur,Year 4,Patel Group,Pass,Excellent
4485,Female,24,English,50.41,2025-09-11,Aguilarfurt,Year 1,"Hill, Adams and Martin",Pass,Average
5012,Female,20,Math,91.02,2025-06-05,Lake Jennifer,Year 2,"Gordon, Johnson and Davis",Pass,Excellent
1050,Female,19,Math,81.73,2025-01-14,Joebury,Year 2,"Adams, Proctor and Jacobs",Pass,Good
9678,Female,20,History,50.02,2025-02-02,Hooperstad,Year 4,Nunez PLC,Pass,Average
4992,Male,19,Computer,97.09,2024-11-13,Wuhaven,Year 1,"Evans, Stanley and Marquez",Pass,Excellent
5310,Male,21,English,47.12,2025-01-04,Adamsview,Year 4,Anderson Ltd,Fail,Low
5002,Female,18,History,72.72,2025-04-11,Nathanville,Year 1,"Murphy, Edwards and Kelly",Pass,Good
7749,Female,24,English,81.88,2025-09-17,Lawrencehaven,Year 4,Wiggins and Sons,Pass,Good
9769,Female,22,Math,60.52,2025-05-22,North Megan,Year 3,Jennings Ltd,Pass,Average
4469,Female,25,Computer,80.75,2024-12-15,Lake Josephchester,Year 1,Briggs and Sons,Pass,Good
5476,Male,21,English,45.29,2025-08-24,South Shannon,Year 4,Lewis-Singleton,Fail,Low
4510,Female,25,English,49.1,2025-02-20,New John,Year 1,Avila Ltd,Fail,Low
2136,Male,18,Computer,71.67,2025-01-04,Carlaton,Year 2,"Duke, Phillips and Snyder",Pass,Good
2479,Male,21,Computer,72.68,2025-04-05,New Laceyborough,Year 3,Richardson-Johnson,Pass,Good
2671,Female,23,Science,79.67,2025-02-24,Ortegatown,Year 2,"Rice, Shepherd and Hudson",Pass,Good
5557,Female,19,Computer,71.08,2025-04-12,West Max,Year 3,"Gomez, Marshall and Morris",Pass,Good
5220,Male,24,English,78.38,2025-04-01,South Jimmyhaven,Year 3,Chase and Sons,Pass,Good
7009,Male,22,Science,65.5,2025-03-12,Hunterstad,Year 2,"Smith, Nelson and Reed",Pass,Average
7601,Female,18,Computer,65.72,2025-03-31,Schmidtborough,Year 4,Sullivan-Pena,Pass,Average
4650,Male,18,History,73.66,2025-04-03,Sanderschester,Year 3,Wright-Anderson,Pass,Good
5965,Male,19,History,86.83,2025-04-02,West William,Year 2,Hall PLC,Pass,Excellent
9221,Male,21,Science,40.36,2025-10-19,North Jessicaport,Year 3,"Harris, Carey and Carney",Fail,Low
4502,Female,21,Computer,57.21,2025-08-09,Lake Oscarton,Year 4,Gonzalez Inc,Pass,Average
8461,Female,24,Science,92.44,2025-01-18,West Mary,Year 3,"Mendez, Melton and Wright",Pass,Excellent
2707,Male,20,History,40.78,2024-11-08,Lake Kathleen,Year 1,"Mcdaniel, Cortez and Kim",Fail,Low
9834,Male,19,History,94.1,2024-12-09,Lake Nicole,Year 4,"Robertson, Richards and Barton",Pass,Excellent
3832,Female,21,Computer,84.38,2025-05-17,New Aliciaton,Year 2,Macdonald-Morales,Pass,Good
5911,Female,18,Science,71.9,2024-10-31,Lake Samantha,Year 3,Wilson PLC,Pass,Good
7686,Female,18,Computer,59.66,2025-09-04,New Wendyhaven,Year 1,Jones PLC,Pass,Average
2665,Male,22,History,83.14,2025-04-08,Port Sabrinaton,Year 4,"Wade, Snyder and Perez",Pass,Good
2553,Female,21,Math,42.18,2024-11-17,East Paigehaven,Year 2,"Hendricks, Hahn and Vega",Fail,Low
8362,Female,18,Computer,40.39,2025-04-10,Jameston,Year 1,Keller Ltd,Fail,Low
8793,Male,23,Computer,44.37,2024-11-25,Perezmouth,Year 2,"Adams, Davis and Rivera",Fail,Low
6697,Male,19,English,45.89,2025-08-11,Adkinsbury,Year 4,Brown-Mata,Fail,Low
8261,Male,23,History,70.39,2024-12-17,Annport,Year 1,Ramirez-Morgan,Pass,Good
7424,Female,20,Math,86.92,2025-06-06,West Joshua,Year 3,Davis PLC,Pass,Excellent
3484,Male,23,Science,57.28,2025-06-11,South Christopher,Year 1,Braun-Bird,Pass,Average
6638,Female,22,History,74.16,2025-08-08,Lake Stephen,Year 3,Vasquez-Sanchez,Pass,Good
1676,Female,19,Science,83.72,2025-02-04,Franklinchester,Year 1,"Wilkinson, Clements and Garcia",Pass,Good
7723,Male,24,Computer,76.25,2025-07-23,New Jimmystad,Year 4,Huffman-Henderson,Pass,Good
7260,Female,21,Math,96.44,2025-10-08,Sanchezmouth,Year 1,Wilson-Robbins,Pass,Excellent
3782,Female,20,Science,88.9,2024-10-30,South Scott,Year 2,"Delacruz, Garcia and Rivera",Pass,Excellent
1748,Female,22,Computer,63.33,2024-11-12,Moodyborough,Year 1,"Harris, King and Cooper",Pass,Average
6809,Male,20,Math,59.11,2025-06-22,East Jenniferton,Year 4,"Parker, Davis and Patterson",Pass,Average
5541,Female,23,Computer,66.43,2025-01-13,East David,Year 2,Ruiz-Chambers,Pass,Average
6359,Male,18,History,60.34,2024-12-14,North Reneebury,Year 4,Moran-Fields,Pass,Average
7498,Male,23,English,58.05,2025-02-09,Lake David,Year 2,Stark-Brooks,Pass,Average
4716,Female,21,History,44.64,2024-11-22,New Kimport,Year 3,"Morales, Griffin and Escobar",Fail,Low
5112,Female,20,English,44.59,2025-09-21,Tonyaview,Year 3,Castillo Ltd,Fail,Low
7297,Female,21,Math,96.25,2024-11-30,West Stephanietown,Year 1,"Smith, Peterson and Williams",Pass,Excellent
5170,Male,20,English,71.92,2025-09-12,North Regina,Year 3,Wright and Sons,Pass,Good
5651,Female,23,English,71.77,2025-05-29,Port Malloryside,Year 1,"Smith, Ware and Good",Pass,Good
4003,Male,21,English,88.76,2025-06-16,East Felicia,Year 3,Warner Inc,Pass,Excellent
5084,Male,22,Math,89.41,2025-03-16,New Graceland,Year 3,Ramirez-Livingston,Pass,Excellent
9517,Male,21,Math,66.44,2025-09-08,Ericfurt,Year 3,Hendricks-Taylor,Pass,Average
3152,Female,20,English,84.3,2025-07-16,West David,Year 2,"Spears, Page and Williams",Pass,Good
8369,Male,22,History,72.03,2025-05-24,Brianshire,Year 1,Avila-Crawford,Pass,Good
4051,Female,23,Math,47.13,2025-09-02,Lake Crystal,Year 3,"Blake, Jones and Phillips",Fail,Low
4283,Female,18,History,52.79,2024-12-11,Port Virginiaview,Year 1,Gonzales Ltd,Pass,Average
5634,Male,18,Math,62.48,2025-01-18,Martinchester,Year 2,"Anderson, Gilbert and Travis",Pass,Average
8094,Male,18,English,76.83,2024-12-15,Christopherfort,Year 1,"Gomez, Taylor and Wright",Pass,Good
3605,Female,22,Math,53.94,2025-01-02,North Samantha,Year 4,"Morgan, Monroe and Kemp",Pass,Average
